job_id,title,career_cluster,company_name,region,city,salary,experience_level,education_required,technical_skills,soft_skills,preferred_traits,work_arrangement,company_size,industry_growth,posting_date,applications_received,job_views,save_rate,job_description
24,Video Editor,Creative Arts,Company 24,Africa,Cairo,74760,Entry-level,Master's Degree,"Illustrator, Adobe Creative Suite, Color Theory","Self-Motivation, Teamwork, Time Management","Creative, Analytical",Flexible,Small (51-200),Moderate Growth,2025-03-24,441,3087,0.3,"This is a Entry-level Video Editor position requiring expertise in Illustrator, Adobe Creative Suite, Color Theory. The ideal candidate should have strong Self-Motivation, Teamwork, Time Management skills and be Creative, Analytical."
25,Pharmacist,Healthcare,Company 25,South America,Bogota,137441,Senior,Associate's Degree,"Electronic Health Records, Biology, Medical Software, Clinical Assessment, Healthcare Regulations, Patient Care","Conflict Resolution, Teamwork, Communication, Adaptability","Innovative, Adaptable, Independent",Flexible,Medium (201-1000),Moderate Growth,2025-03-27,225,1125,0.12,"This is a Senior Pharmacist position requiring expertise in Electronic Health Records, Biology, Medical Software, Clinical Assessment, Healthcare Regulations, Patient Care. The ideal candidate should have strong Conflict Resolution, Teamwork, Communication, Adaptability skills and be Innovative, Adaptable, Independent."
26,Cloud Architect,Technology,Company 26,Asia,Singapore,161336,Manager,Master's Degree,"C++, TensorFlow, CI/CD, AWS, Kubernetes","Leadership, Time Management","Independent, Adaptable, Methodical",Remote,Enterprise (10000+),Moderate Growth,2025-03-28,127,1524,0.06,"This is a Manager Cloud Architect position requiring expertise in C++, TensorFlow, CI/CD, AWS, Kubernetes. The ideal candidate should have strong Leadership, Time Management skills and be Independent, Adaptable, Methodical."
27,Human Resources Manager,Business,Company 27,Africa,Nairobi,231916,Director,PhD,"PowerBI, Google Analytics, Financial Modeling, Budgeting, Marketing","Time Management, Attention to Detail","Risk-taker, Detail-oriented, Outgoing",Hybrid,Large (1000+),Slow Growth,2025-03-15,266,1330,0.27,"This is a Director Human Resources Manager position requiring expertise in PowerBI, Google Analytics, Financial Modeling, Budgeting, Marketing. The ideal candidate should have strong Time Management, Attention to Detail skills and be Risk-taker, Detail-oriented, Outgoing."
28,Business Analyst,Business,Company 28,Africa,Lagos,145683,Manager,Master's Degree,"Project Management, Microsoft Excel, CRM Software, Marketing, Google Analytics","Problem Solving, Self-Motivation, Emotional Intelligence, Communication","People-oriented, Practical",On-site,Startup (1-50),Moderate Growth,2025-03-16,21,168,0.39,"This is a Manager Business Analyst position requiring expertise in Project Management, Microsoft Excel, CRM Software, Marketing, Google Analytics. The ideal candidate should have strong Problem Solving, Self-Motivation, Emotional Intelligence, Communication skills and be People-oriented, Practical."
29,DevOps Engineer,Technology,Company 29,Australia,Sydney,115090,Mid-level,PhD,"PyTorch, C++, Machine Learning, JavaScript","Teamwork, Emotional Intelligence","Analytical, Organized",Remote,Startup (1-50),Moderate Growth,2025-03-23,83,581,0.1,"This is a Mid-level DevOps Engineer position requiring expertise in PyTorch, C++, Machine Learning, JavaScript. The ideal candidate should have strong Teamwork, Emotional Intelligence skills and be Analytical, Organized."
30,Cloud Architect,Technology,Company 30,North America,Seattle,135632,Senior,Certification,"Cloud Computing, Docker, React","Creativity, Negotiation, Emotional Intelligence, Adaptability","Practical, Detail-oriented",Hybrid,Startup (1-50),Stable Growth,2025-03-21,232,2320,0.15,"This is a Senior Cloud Architect position requiring expertise in Cloud Computing, Docker, React. The ideal candidate should have strong Creativity, Negotiation, Emotional Intelligence, Adaptability skills and be Practical, Detail-oriented."
31,Laboratory Technician,Science & Research,Company 31,South America,Bogota,44945,Entry-level,Certification,"Laboratory Techniques, Python, Data Analysis, Scientific Writing, MATLAB, R","Negotiation, Interpersonal Skills, Self-Motivation, Teamwork","Detail-oriented, Adaptable, People-oriented",Remote,Medium (201-1000),Stable Growth,2025-03-21,201,1206,0.25,"This is a Entry-level Laboratory Technician position requiring expertise in Laboratory Techniques, Python, Data Analysis, Scientific Writing, MATLAB, R. The ideal candidate should have strong Negotiation, Interpersonal Skills, Self-Motivation, Teamwork skills and be Detail-oriented, Adaptable, People-oriented."
32,Animator,Creative Arts,Company 32,Australia,Melbourne,142472,Manager,Master's Degree,"Unreal Engine, UI/UX, Illustrator, Adobe Creative Suite","Communication, Conflict Resolution","Independent, Task-oriented",On-site,Small (51-200),Slow Growth,2025-03-21,26,260,0.23,"This is a Manager Animator position requiring expertise in Unreal Engine, UI/UX, Illustrator, Adobe Creative Suite. The ideal candidate should have strong Communication, Conflict Resolution skills and be Independent, Task-oriented."
33,Healthcare Administrator,Healthcare,Company 33,Africa,Johannesburg,161228,Manager,Associate's Degree,"Laboratory Techniques, Medical Software, Electronic Health Records, Clinical Assessment","Interpersonal Skills, Leadership, Work Ethic, Critical Thinking","Practical, Task-oriented, Collaborative",Remote,Startup (1-50),Slow Growth,2025-03-23,184,2024,0.23,"This is a Manager Healthcare Administrator position requiring expertise in Laboratory Techniques, Medical Software, Electronic Health Records, Clinical Assessment. The ideal candidate should have strong Interpersonal Skills, Leadership, Work Ethic, Critical Thinking skills and be Practical, Task-oriented, Collaborative."
34,Financial Analyst,Business,Company 34,South America,Buenos Aires,101701,Senior,Certification,"CRM Software, Microsoft Excel, Google Analytics, Marketing, Financial Modeling","Communication, Problem Solving, Interpersonal Skills","Creative, Innovative, Organized",Remote,Medium (201-1000),Moderate Growth,2025-03-14,204,1632,0.27,"This is a Senior Financial Analyst position requiring expertise in CRM Software, Microsoft Excel, Google Analytics, Marketing, Financial Modeling. The ideal candidate should have strong Communication, Problem Solving, Interpersonal Skills skills and be Creative, Innovative, Organized."
35,School Counselor,Education,Company 35,Europe,Madrid,109344,Senior,Master's Degree,"Assessment, Learning Management Systems, Online Course Development, Educational Technology","Attention to Detail, Negotiation","Cautious, Creative, Analytical",On-site,Startup (1-50),Moderate Growth,2025-03-17,176,2464,0.22,"This is a Senior School Counselor position requiring expertise in Assessment, Learning Management Systems, Online Course Development, Educational Technology. The ideal candidate should have strong Attention to Detail, Negotiation skills and be Cautious, Creative, Analytical."
36,Laboratory Technician,Science & Research,Company 36,South America,Santiago,149854,Senior,Certification,"Laboratory Techniques, Data Analysis, Experimental Design, Research Methods, MATLAB, Statistical Analysis","Conflict Resolution, Interpersonal Skills, Communication, Self-Motivation","Adaptable, Collaborative",Remote,Large (1000+),Moderate Growth,2025-03-25,114,798,0.37,"This is a Senior Laboratory Technician position requiring expertise in Laboratory Techniques, Data Analysis, Experimental Design, Research Methods, MATLAB, Statistical Analysis. The ideal candidate should have strong Conflict Resolution, Interpersonal Skills, Communication, Self-Motivation skills and be Adaptable, Collaborative."
37,Graphic Designer,Creative Arts,Company 37,North America,Chicago,117289,Senior,Bachelor's Degree,"Illustrator, UI/UX, Photoshop, Adobe Creative Suite, Unreal Engine, Unity","Conflict Resolution, Adaptability","Methodical, People-oriented",Flexible,Medium (201-1000),Moderate Growth,2025-03-21,232,2088,0.11,"This is a Senior Graphic Designer position requiring expertise in Illustrator, UI/UX, Photoshop, Adobe Creative Suite, Unreal Engine, Unity. The ideal candidate should have strong Conflict Resolution, Adaptability skills and be Methodical, People-oriented."
38,Physician,Healthcare,Company 38,Australia,Sydney,187731,Director,PhD,"Laboratory Techniques, Clinical Assessment, Medical Terminology, Electronic Health Records","Teamwork, Work Ethic, Time Management","Outgoing, Analytical, Creative",Remote,Medium (201-1000),Emerging Field,2025-03-06,314,3140,0.39,"This is a Director Physician position requiring expertise in Laboratory Techniques, Clinical Assessment, Medical Terminology, Electronic Health Records. The ideal candidate should have strong Teamwork, Work Ethic, Time Management skills and be Outgoing, Analytical, Creative."
39,Education Technology Specialist,Education,Company 39,Africa,Lagos,256985,Executive,Associate's Degree,"Online Course Development, Learning Management Systems, Assessment","Critical Thinking, Self-Motivation, Adaptability","Visionary, Analytical, Collaborative",Flexible,Enterprise (10000+),Emerging Field,2025-03-22,345,2760,0.21,"This is a Executive Education Technology Specialist position requiring expertise in Online Course Development, Learning Management Systems, Assessment. The ideal candidate should have strong Critical Thinking, Self-Motivation, Adaptability skills and be Visionary, Analytical, Collaborative."
40,Marketing Manager,Business,Company 40,North America,Austin,257321,Executive,Master's Degree,"Google Analytics, Tableau, CRM Software","Teamwork, Creativity, Conflict Resolution","Risk-taker, Methodical",Remote,Large (1000+),Emerging Field,2025-03-23,155,2170,0.27,"This is a Executive Marketing Manager position requiring expertise in Google Analytics, Tableau, CRM Software. The ideal candidate should have strong Teamwork, Creativity, Conflict Resolution skills and be Risk-taker, Methodical."
41,Pharmacist,Healthcare,Company 41,Africa,Cape Town,337287,Executive,Bachelor's Degree,"Healthcare Regulations, Laboratory Techniques, Clinical Assessment, Electronic Health Records","Attention to Detail, Work Ethic","Detail-oriented, Creative, Analytical",Remote,Large (1000+),Stable Growth,2025-03-15,248,1984,0.16,"This is a Executive Pharmacist position requiring expertise in Healthcare Regulations, Laboratory Techniques, Clinical Assessment, Electronic Health Records. The ideal candidate should have strong Attention to Detail, Work Ethic skills and be Detail-oriented, Creative, Analytical."
42,UI/UX Designer,Technology,Company 42,Asia,Dubai,163050,Director,Certification,"Java, Machine Learning, Git","Interpersonal Skills, Critical Thinking, Creativity","Methodical, Organized, Adaptable",Hybrid,Medium (201-1000),High Growth,2025-03-09,40,320,0.16,"This is a Director UI/UX Designer position requiring expertise in Java, Machine Learning, Git. The ideal candidate should have strong Interpersonal Skills, Critical Thinking, Creativity skills and be Methodical, Organized, Adaptable."
43,Audio Engineer,Creative Arts,Company 43,North America,San Francisco,275206,Executive,Master's Degree,"After Effects, Blender, Unity, Illustrator, Adobe Creative Suite, Typography","Negotiation, Teamwork, Attention to Detail, Adaptability","Cautious, Outgoing, Methodical",Hybrid,Enterprise (10000+),Slow Growth,2025-03-14,285,1995,0.17,"This is a Executive Audio Engineer position requiring expertise in After Effects, Blender, Unity, Illustrator, Adobe Creative Suite, Typography. The ideal candidate should have strong Negotiation, Teamwork, Attention to Detail, Adaptability skills and be Cautious, Outgoing, Methodical."
44,Physician,Healthcare,Company 44,Asia,Tokyo,119411,Senior,Bachelor's Degree,"Chemistry, Laboratory Techniques, Healthcare Regulations, Medical Software","Negotiation, Conflict Resolution","Outgoing, People-oriented",On-site,Small (51-200),Emerging Field,2025-03-07,112,1008,0.15,"This is a Senior Physician position requiring expertise in Chemistry, Laboratory Techniques, Healthcare Regulations, Medical Software. The ideal candidate should have strong Negotiation, Conflict Resolution skills and be Outgoing, People-oriented."
45,Cybersecurity Analyst,Technology,Company 45,South America,Sao Paulo,120923,Senior,Bachelor's Degree,"Git, CI/CD, Kubernetes, Cloud Computing, Machine Learning","Self-Motivation, Teamwork, Time Management, Negotiation","People-oriented, Practical",Remote,Large (1000+),Stable Growth,2025-03-15,242,2662,0.23,"This is a Senior Cybersecurity Analyst position requiring expertise in Git, CI/CD, Kubernetes, Cloud Computing, Machine Learning. The ideal candidate should have strong Self-Motivation, Teamwork, Time Management, Negotiation skills and be People-oriented, Practical."
46,Physician,Healthcare,Company 46,North America,Chicago,202170,Director,PhD,"Patient Care, Biology, Laboratory Techniques, Medical Terminology, Clinical Assessment, Chemistry","Adaptability, Attention to Detail, Emotional Intelligence","Adaptable, People-oriented, Creative",Flexible,Small (51-200),Moderate Growth,2025-03-21,418,4180,0.34,"This is a Director Physician position requiring expertise in Patient Care, Biology, Laboratory Techniques, Medical Terminology, Clinical Assessment, Chemistry. The ideal candidate should have strong Adaptability, Attention to Detail, Emotional Intelligence skills and be Adaptable, People-oriented, Creative."
47,Curriculum Developer,Education,Company 47,South America,Lima,231054,Director,Bachelor's Degree,"Educational Technology, Learning Management Systems, Instructional Design, Online Course Development","Time Management, Self-Motivation, Teamwork, Communication","Organized, Outgoing",Remote,Startup (1-50),Moderate Growth,2025-03-26,115,1495,0.29,"This is a Director Curriculum Developer position requiring expertise in Educational Technology, Learning Management Systems, Instructional Design, Online Course Development. The ideal candidate should have strong Time Management, Self-Motivation, Teamwork, Communication skills and be Organized, Outgoing."
48,Product Manager,Business,Company 48,Africa,Cairo,178782,Director,High School,"CRM Software, Data Analysis, Microsoft Excel, Business Intelligence","Conflict Resolution, Teamwork, Self-Motivation, Critical Thinking","Cautious, Practical, Analytical",Hybrid,Small (51-200),Emerging Field,2025-03-27,211,3165,0.16,"This is a Director Product Manager position requiring expertise in CRM Software, Data Analysis, Microsoft Excel, Business Intelligence. The ideal candidate should have strong Conflict Resolution, Teamwork, Self-Motivation, Critical Thinking skills and be Cautious, Practical, Analytical."
49,Physician,Healthcare,Company 49,Europe,Amsterdam,171472,Senior,Bachelor's Degree,"Chemistry, Medical Software, Clinical Assessment","Attention to Detail, Creativity, Communication, Adaptability","Risk-taker, People-oriented, Analytical",On-site,Startup (1-50),Moderate Growth,2025-04-04,421,3789,0.35,"This is a Senior Physician position requiring expertise in Chemistry, Medical Software, Clinical Assessment. The ideal candidate should have strong Attention to Detail, Creativity, Communication, Adaptability skills and be Risk-taker, People-oriented, Analytical."
50,Marketing Manager,Business,Company 50,South America,Buenos Aires,205697,Director,High School,"Tableau, Financial Modeling, Data Analysis, Google Analytics, PowerBI","Communication, Work Ethic, Interpersonal Skills","Practical, Analytical",Hybrid,Medium (201-1000),High Growth,2025-03-30,382,1910,0.09,"This is a Director Marketing Manager position requiring expertise in Tableau, Financial Modeling, Data Analysis, Google Analytics, PowerBI. The ideal candidate should have strong Communication, Work Ethic, Interpersonal Skills skills and be Practical, Analytical."
51,Graphic Designer,Creative Arts,Company 51,North America,San Francisco,46991,Entry-level,Bachelor's Degree,"After Effects, Unreal Engine, 3D Modeling, Unity, Photoshop, Adobe Creative Suite","Self-Motivation, Critical Thinking","Creative, Independent",Hybrid,Startup (1-50),High Growth,2025-03-24,209,1672,0.24,"This is a Entry-level Graphic Designer position requiring expertise in After Effects, Unreal Engine, 3D Modeling, Unity, Photoshop, Adobe Creative Suite. The ideal candidate should have strong Self-Motivation, Critical Thinking skills and be Creative, Independent."
52,Management Consultant,Business,Company 52,Asia,Bangalore,243426,Executive,Associate's Degree,"SQL, Microsoft Excel, Tableau, Marketing, Business Intelligence, Project Management","Interpersonal Skills, Communication, Negotiation","Adaptable, Visionary, Risk-taker",Hybrid,Startup (1-50),Slow Growth,2025-03-29,423,6345,0.18,"This is a Executive Management Consultant position requiring expertise in SQL, Microsoft Excel, Tableau, Marketing, Business Intelligence, Project Management. The ideal candidate should have strong Interpersonal Skills, Communication, Negotiation skills and be Adaptable, Visionary, Risk-taker."
53,Instructional Designer,Education,Company 53,Asia,Dubai,83976,Mid-level,Certification,"Instructional Design, Learning Management Systems, Educational Technology, Classroom Management, Curriculum Development, Assessment","Communication, Work Ethic, Conflict Resolution","Organized, Analytical",On-site,Startup (1-50),High Growth,2025-04-03,264,3432,0.2,"This is a Mid-level Instructional Designer position requiring expertise in Instructional Design, Learning Management Systems, Educational Technology, Classroom Management, Curriculum Development, Assessment. The ideal candidate should have strong Communication, Work Ethic, Conflict Resolution skills and be Organized, Analytical."
54,Management Consultant,Business,Company 54,South America,Buenos Aires,75761,Entry-level,Bachelor's Degree,"Marketing, Business Intelligence, Data Analysis","Self-Motivation, Interpersonal Skills, Teamwork","Outgoing, Collaborative, Practical",Remote,Enterprise (10000+),Emerging Field,2025-03-10,154,770,0.36,"This is a Entry-level Management Consultant position requiring expertise in Marketing, Business Intelligence, Data Analysis. The ideal candidate should have strong Self-Motivation, Interpersonal Skills, Teamwork skills and be Outgoing, Collaborative, Practical."
55,Astrophysicist,Science & Research,Company 55,Africa,Cape Town,150953,Manager,Master's Degree,"Scientific Instrumentation, Data Analysis, Laboratory Techniques, Statistical Analysis, R","Critical Thinking, Negotiation, Work Ethic","Cautious, Organized, Task-oriented",Hybrid,Startup (1-50),Slow Growth,2025-03-19,382,4584,0.08,"This is a Manager Astrophysicist position requiring expertise in Scientific Instrumentation, Data Analysis, Laboratory Techniques, Statistical Analysis, R. The ideal candidate should have strong Critical Thinking, Negotiation, Work Ethic skills and be Cautious, Organized, Task-oriented."
56,Product Manager,Business,Company 56,North America,Seattle,153490,Senior,High School,"Google Analytics, PowerBI, Business Intelligence, Budgeting","Negotiation, Creativity, Communication","Collaborative, Innovative",On-site,Small (51-200),Stable Growth,2025-03-08,225,1125,0.34,"This is a Senior Product Manager position requiring expertise in Google Analytics, PowerBI, Business Intelligence, Budgeting. The ideal candidate should have strong Negotiation, Creativity, Communication skills and be Collaborative, Innovative."
57,Teacher,Education,Company 57,Europe,Madrid,186773,Manager,Bachelor's Degree,"Online Course Development, Assessment, Curriculum Development, Learning Management Systems, Classroom Management, Instructional Design","Work Ethic, Problem Solving, Adaptability","People-oriented, Creative, Methodical",Flexible,Medium (201-1000),Slow Growth,2025-03-28,268,1340,0.21,"This is a Manager Teacher position requiring expertise in Online Course Development, Assessment, Curriculum Development, Learning Management Systems, Classroom Management, Instructional Design. The ideal candidate should have strong Work Ethic, Problem Solving, Adaptability skills and be People-oriented, Creative, Methodical."
